Div,Date,HomeTeam,AwayTeam,FTHG,FTAG,FTR,HTHG,HTAG,HTR,HS,AS,HST,AST,HF,AF,HC,AC,HY,AY,HR,AR,B365H,B365D,B365A,BWH,BWD,BWA,IWH,IWD,IWA,PSH,PSD,PSA,WHH,WHD,WHA,VCH,VCD,VCA,Bb1X2,BbMxH,BbAvH,BbMxD,BbAvD,BbMxA,BbAvA,BbOU,BbMx>2.5,BbAv>2.5,BbMx<2.5,BbAv<2.5,BbAH,BbAHh,BbMxAHH,BbAvAHH,BbMxAHA,BbAvAHA,PSCH,PSCD,PSCA
T1,10/08/2018,Ankaragucu,Galatasaray,1,3,A,1,2,A,3,12,1,4,15,9,2,4,2,2,0,0,4.5,4,1.72,4.6,3.9,1.65,4.35,3.85,1.7,4.62,3.97,1.77,4,4,1.7,4.33,4,1.73,34,4.89,4.42,4.09,3.85,1.82,1.71,30,1.7,1.64,2.29,2.2,18,1,1.69,1.64,2.34,2.23,4.39,3.89,1.83
T1,11/08/2018,Fenerbahce,Bursaspor,2,1,H,2,1,H,7,6,2,3,12,15,4,4,3,3,0,0,1.36,5,7.5,1.33,5,7.75,1.4,4.65,6.9,1.38,5.13,8.28,1.35,4.8,7,1.4,4.8,7.5,36,1.44,1.37,5.35,4.76,9.5,7.42,31,1.66,1.6,2.35,2.27,18,-1.5,2.21,2.11,1.78,1.72,1.35,5.46,9.11
T1,11/08/2018,Rizespor,Kasimpasa,2,3,A,1,0,H,8,14,5,6,13,14,3,6,2,1,0,0,2.3,3.4,3,2.4,3.1,2.9,2.35,3.35,2.85,2.44,3.52,2.89,2.3,3.5,2.7,2.38,3.4,2.88,35,2.5,2.33,3.64,3.36,3.05,2.86,30,1.86,1.77,2.11,2,17,0,1.77,1.72,2.19,2.11,2.03,3.85,3.56
T1,11/08/2018,Sivasspor,Alanyaspor,1,0,H,0,0,D,12,9,5,3,13,16,4,7,1,3,0,0,2.25,3.25,3.2,2.15,3.4,3.1,2.15,3.5,3.05,2.18,3.77,3.17,2.1,3.7,2.9,2.2,3.5,3.13,35,2.3,2.18,3.77,3.46,3.3,3.08,32,1.8,1.73,2.17,2.06,18,-0.25,1.98,1.91,1.97,1.91,1.95,3.74,3.95
T1,12/08/2018,Besiktas,Akhisar Belediyespor,2,1,H,2,0,H,13,8,4,4,17,16,12,3,3,6,0,0,1.4,5,6.5,1.33,5.25,7.5,1.43,4.5,6.3,1.42,4.9,7.5,1.4,4.75,6,1.4,4.75,7,36,1.47,1.41,5.25,4.62,8.7,6.69,31,1.64,1.57,2.38,2.32,18,-1,1.7,1.66,2.3,2.2,1.44,4.85,7.49
T1,12/08/2018,Buyuksehyr,Trabzonspor,2,0,H,1,0,H,15,8,5,0,16,15,9,2,2,2,0,0,1.8,3.6,4.5,1.72,3.6,4.5,1.85,3.5,3.95,1.92,3.45,4.38,1.85,3.6,3.7,1.83,3.7,4.1,36,1.97,1.84,3.74,3.5,4.7,4.03,30,1.85,1.77,2.13,2,17,-0.75,2.21,2.11,1.78,1.73,1.86,3.78,4.31
T1,12/08/2018,Goztep,Yeni Malatyaspor,1,3,A,0,1,A,10,6,4,3,11,11,4,0,4,5,2,1,1.95,3.3,4,1.95,3.4,3.6,1.95,3.35,3.75,1.99,3.49,3.98,1.95,3.4,3.5,1.95,3.5,3.75,36,2.1,1.96,3.63,3.33,4,3.72,32,2.02,1.95,1.9,1.82,17,-0.5,2.03,1.97,1.89,1.85,2.11,3.26,3.96
T1,12/08/2018,Konyaspor,Erzurum BB,3,2,H,2,1,H,16,6,9,4,11,14,4,7,1,2,0,0,1.75,3.5,4.75,1.75,3.6,4.25,,,,1.8,3.66,4.71,1.73,3.6,4.33,1.75,3.6,4.75,34,1.89,1.77,3.77,3.51,4.75,4.44,30,2.05,1.98,1.88,1.8,17,-0.75,2.07,2,1.88,1.82,1.75,3.72,5.17
T1,13/08/2018,Kayserispor,Antalyaspor,2,0,H,1,0,H,8,4,5,1,16,8,6,2,0,2,0,1,1.95,3.4,3.9,1.87,3.4,4,1.87,3.4,3.95,1.92,3.63,4.11,1.83,3.6,3.75,1.91,3.4,4.1,35,2.03,1.91,3.63,3.4,4.13,3.9,30,2.16,2.05,1.81,1.74,16,-0.5,1.96,1.91,1.96,1.91,1.8,3.48,5.25
T1,17/08/2018,Trabzonspor,Sivasspor,3,1,H,3,1,H,10,12,8,3,12,19,8,5,1,4,0,0,1.75,3.75,4.5,1.83,3.4,4.1,1.8,3.5,4.2,1.82,3.63,4.81,1.8,3.6,3.9,1.8,3.75,4.2,39,1.89,1.8,3.83,3.57,4.84,4.36,36,1.82,1.76,2.11,2.03,18,-0.75,2.09,2.04,1.85,1.79,1.82,3.7,4.68
